run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T101838010434,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T101838010434,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T101838010434,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T101838010434,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T103429673566,v1,v1+pcb1d5811366a+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M03_correction_handle,True,wrong_arg_value,wrong_arg_value,timeline,timeline,False,True,False,"screenname: expected 'karpathy', got 'AndrejKarpathy'"
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T104218600288,v2,v2+pcb1d5811366a+t384d9f80d128,base,M06_switch_tool,True,wrong_tool,extra_tool_call,lookup,lookup|social_search,False,False,False,extra tool call social_search
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T104650106812,v3,v3+p09df1cadf1c9+t384d9f80d128,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T105946127962,v3,v3+pa6014fe88e80+tacadfdf55c94,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G01_wiki_definition,False,wrong_tool,,wiki,wiki,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G02_news_vs_wiki,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G03_handle_mapping,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G04_send_needs_confirm,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G05_out_of_scope_translate,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G06_clarify_then_wiki,True,missing_info,,wiki,wiki,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G07_switch_topic_search,True,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G08_cancel_then_capability,True,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G09_confirmed_send,True,wrong_boundary,,send,send,True,True,True,
v3_B_group_openrouter_20260729T110228198568,v3,v3+pa6014fe88e80+tacadfdf55c94,group,G10_url_supplied_later,True,missing_info,,fetch,fetch,True,True,True,
